file,newspaper,title,date,category
50149.txt,www.zugo.md,doc | Cite un medicament pentru fiecare maladie. CNAM a publicat lista preparatelor care vor fi oferite gratuit in farmacii,2019-01-31T16:58:38+00:00,Stiri
50150.txt,www.zugo.md,"Sfaturi ZUGO | Zi de nastere, cina romantica sau petrecere? Un somelier din Moldova te ajuta sa alegi cel mai bun vin pentru orice ocazie",2018-10-16T10:14:17+00:00,Stiri
50151.txt,www.zugo.md,"Prima zi din februarie, fara electricitate. Ce localitati din tara vor ramine in bezna?",2019-01-31T19:02:58+00:00,Stiri
50152.txt,www.zugo.md,foto | O noua atractie turistica va aparea la Soroca. Ce reprezinta constructia si cum va arata aceasta?,2019-03-31T15:04:36+00:00,Stiri
50153.txt,www.zugo.md,foto | Cartofii scazuti si rata impuscata au ajuns si in Africa. Aventura de neuitat a unei tinere din Moldova in Uganda,2018-04-26T12:37:31+00:00,Stiri
50154.txt,www.zugo.md,infografic | StopFals! prezinta adevarul despre sectorul energetic al R. Moldova,2025-01-06T06:37:09+00:00,Stiri
50155.txt,www.zugo.md,"foto | Ea este mindria intregii tari! Moldoveanca Anastasia Nichita, invingatoarea Campionatului de lupte din India",2019-01-31T18:01:30+00:00,Stiri
50156.txt,www.zugo.md,"video | S-ar fi simtit ca in „Fast and Furious”: Un sofer, surprins in timp ce face manevre periculoase in apropiere de Anenii Noi",2019-04-30T14:09:48+00:00,Stiri
50157.txt,www.zugo.md,"#PrimaData. Mai picante sau cu o aroma puternica, aduc neobisnuitul in rutina. La ce sa fii atent cind gusti din bucatele exotice?",2018-11-15T11:09:44+00:00,Stiri
50158.txt,www.zugo.md,"video | Dupa Candu, si Sirbu s-a apucat de jurnalism. Democratul i-a intrebat pe alegatorii din Nisporeni ce cred despre Vlad Plahotniuc",2019-01-31T18:32:28+00:00,Stiri
50159.txt,www.zugo.md,"foto | #PrimaData. Pufosi si dragalasi, numai buni de luat acasa. Ce trebuie sa stii cind vrei sa adopti primul animalut de companie?",2018-10-25T10:01:20+00:00,Stiri
50160.txt,www.zugo.md,"video | Au dansat pasional si a muscat-o de git pe Tina Karol. Dan Balan, poreclit „Dracula” la Vocea Ucrainei",2019-03-31T16:05:53+00:00,Stiri
50161.txt,www.zugo.md,"video | Incendiu de proportii la o fabrica de piese auto din Rominia. Peste 400 de angajati, evacuati",2019-04-30T13:52:00+00:00,Stiri
50409.txt,www.noi.md,Criza gazelor: ce vor face Moldova si Rusia in continuare?,01.05.2022,Stiri
50410.txt,www.noi.md,Alexandr Slusari: „Nationalizarea companiei Moldovagaz nu ne va ajuta cu nimic”,No date found,Stiri
50411.txt,www.noi.md,Serbia va propune o tranzactie catre „Gazprom”,No date found,Stiri
50412.txt,www.noi.md,Cit de grava este pneumonia de care sufera presedinta Comisiei Europene,No date found,Stiri
50413.txt,www.noi.md,A decedat o actrita renumita din Rusia,No date found,Stiri
50414.txt,www.noi.md,Migratie ilegala: A fost destructurata o noua grupare criminala,No date found,Stiri
50415.txt,www.noi.md,"La Causeni, un drum le da batai de cap locuitorilor",No date found,Stiri
50416.txt,www.noi.md,Ce evenimente culturale vor avea loc in ziua de 12 ianuarie,No date found,Stiri
50417.txt,www.noi.md,"Porturi si monumente, banci si tarife. Topul articolelor – 2024",No date found,Stiri
50418.txt,www.noi.md,Alimente care imbatrinesc: Evitati-le cit puteti!,No date found,Stiri
50419.txt,www.noi.md,"China va aplica o politica fiscala proactiva, in 2025",No date found,Stiri
50420.txt,www.noi.md,Boris Boincean: „Trebuie sa restabilim sanatatea solurilor noastre”,No date found,Stiri
50421.txt,www.noi.md,A fost descoperit un tezaur istoric impresionant,No date found,Stiri
50422.txt,www.noi.md,5 boli pe care le poti preveni si/sau ameliora daca maninci dovlecei,No date found,Stiri
50423.txt,www.noi.md,"Inainte de incendiile de vegetatie, California a redus fondurile pentru siguranta impotriva incendiilor",No date found,Stiri
50424.txt,www.noi.md,Cu vesnica speranta in miracol,No date found,Stiri
50425.txt,www.noi.md,"Zeci de companii isi cumpara gaz pe piata libera, la pret negociat",No date found,Stiri
50426.txt,www.noi.md,Avertizare meteorologica: Cod galben de scadere a temperaturii,No date found,Stiri
50427.txt,www.noi.md,Compensatii la energia electrica pentru agentii economici,No date found,Stiri
50428.txt,www.noi.md,"Cosmos, frumusete si speranta in dreptate. Topul interviurilor-2024",No date found,Stiri
50429.txt,www.noi.md,"Nicolai Ischimji: In afara de diversele „frumuseti”, exista ceva mult mai valoros - spatiul",No date found,Stiri
50430.txt,www.noi.md,Profesorul Boincean: Solul este un ecosistem viu,No date found,Stiri
50431.txt,www.noi.md,Fico despre Zelenski: Merge prin Europa si cere pomana,No date found,Stiri
50432.txt,www.noi.md,Zelenski anunta ca premierul britanic va vizita Ucraina,No date found,Stiri
50433.txt,www.noi.md,Un ciine neobisnuit merge spre record: animalul nu se opreste de crescut,No date found,Stiri
50434.txt,www.noi.md,"Locuitorii din Zona de Securitate, catre Maia Sandu: ""Lasati-ne in pace cum am fost pina acum""",No date found,Stiri
50435.txt,www.noi.md,Sondaj Noi.md: Cum va pregatiti pentru eventualele deconectari ”in evantai” a energiei electrice?,No date found,Stiri
50436.txt,www.noi.md,Infografic: Cum sa ne incalzim in siguranta,No date found,Stiri
50437.txt,www.noi.md,Cu cit au crescut preturile gazelor in Europa din cauza taxelor si impozitelor,No date found,Stiri
50438.txt,www.noi.md,Important pentru soferii din Balti: Modificari in traficul rutier,No date found,Stiri
